session_id,user_id,variant,timestamp,event_type,country,device,age_group,conversion
1000079,2424,variant_b,2023-01-01 20:00:00,page_view,France,desktop,25-34,True
1000079,2424,variant_b,2023-01-01 20:00:15,purchase_completed,France,desktop,25-34,True
1000079,2424,variant_b,2023-01-01 20:00:40,purchase_started,France,desktop,25-34,True
1000148,4771,variant_b,2023-01-09 19:00:00,page_view,Iceland,desktop,35-44,True
1000148,4771,variant_b,2023-01-09 19:00:11,purchase_completed,Iceland,desktop,35-44,True
1000148,4771,variant_b,2023-01-09 19:00:40,share_link,Iceland,desktop,35-44,True
1000148,4771,variant_b,2023-01-09 19:01:10,purchase_started,Iceland,desktop,35-44,True
1000162,1558,variant_b,2023-01-28 08:00:00,page_view,Iceland,tablet,25-34,True
1000162,1558,variant_b,2023-01-28 08:00:11,download_brochure,Iceland,tablet,25-34,True
1000162,1558,variant_b,2023-01-28 08:00:16,purchase_completed,Iceland,tablet,25-34,True
1000162,1558,variant_b,2023-01-28 08:00:28,purchase_started,Iceland,tablet,25-34,True
1000399,3008,variant_b,2023-01-28 09:00:00,page_view,UK,desktop,45-54,True
1000399,3008,variant_b,2023-01-28 09:00:15,purchase_completed,UK,desktop,45-54,True
1000399,3008,variant_b,2023-01-28 09:00:26,purchase_started,UK,desktop,45-54,True
1000554,12,variant_a,2023-01-26 17:00:00,page_view,France,desktop,25-34,True
1000554,12,variant_a,2023-01-26 17:00:09,purchase_completed,France,desktop,25-34,True
1000554,12,variant_a,2023-01-26 17:00:37,purchase_started,France,desktop,25-34,True
1000732,159,variant_b,2023-01-07 06:00:00,page_view,Germany,desktop,25-34,True
1000732,159,variant_b,2023-01-07 06:00:26,purchase_completed,Germany,desktop,25-34,True
1000732,159,variant_b,2023-01-07 06:00:55,purchase_started,Germany,desktop,25-34,True
1000942,999,variant_b,2023-01-05 16:00:00,page_view,Iceland,mobile,25-34,True
1000942,999,variant_b,2023-01-05 16:00:24,purchase_completed,Iceland,mobile,25-34,True
1000942,999,variant_b,2023-01-05 16:00:38,purchase_started,Iceland,mobile,25-34,True
1001098,3655,variant_a,2023-01-08 04:00:00,page_view,Germany,desktop,45-54,True
1001098,3655,variant_a,2023-01-08 04:00:06,purchase_completed,Germany,desktop,45-54,True
1001098,3655,variant_a,2023-01-08 04:00:16,purchase_started,Germany,desktop,45-54,True
1001217,1386,variant_b,2023-01-09 06:00:00,page_view,UK,desktop,35-44,True
1001217,1386,variant_b,2023-01-09 06:00:05,purchase_completed,UK,desktop,35-44,True
1001217,1386,variant_b,2023-01-09 06:00:24,purchase_started,UK,desktop,35-44,True
1001234,3607,variant_a,2023-01-29 03:00:00,page_view,Iceland,mobile,35-44,True
1001234,3607,variant_a,2023-01-29 03:00:11,purchase_completed,Iceland,mobile,35-44,True
1001234,3607,variant_a,2023-01-29 03:00:20,purchase_started,Iceland,mobile,35-44,True
1001303,4664,variant_a,2023-01-16 17:00:00,page_view,France,desktop,25-34,True
1001303,4664,variant_a,2023-01-16 17:00:10,purchase_completed,France,desktop,25-34,True
1001303,4664,variant_a,2023-01-16 17:00:17,purchase_started,France,desktop,25-34,True
1001368,2533,variant_b,2023-01-28 08:00:00,page_view,UK,mobile,45-54,True
1001368,2533,variant_b,2023-01-28 08:00:07,purchase_completed,UK,mobile,45-54,True
1001368,2533,variant_b,2023-01-28 08:00:18,purchase_started,UK,mobile,45-54,True
1001370,2481,variant_a,2023-01-18 14:00:00,page_view,Germany,tablet,35-44,True
1001370,2481,variant_a,2023-01-18 14:00:09,download_brochure,Germany,tablet,35-44,True
1001370,2481,variant_a,2023-01-18 14:00:21,purchase_completed,Germany,tablet,35-44,True
1001370,2481,variant_a,2023-01-18 14:00:27,purchase_started,Germany,tablet,35-44,True
1001577,4146,variant_b,2023-01-13 16:00:00,page_view,UK,desktop,25-34,True
1001577,4146,variant_b,2023-01-13 16:00:07,purchase_completed,UK,desktop,25-34,True
1001577,4146,variant_b,2023-01-13 16:00:20,share_link,UK,desktop,25-34,True
1001577,4146,variant_b,2023-01-13 16:00:43,purchase_started,UK,desktop,25-34,True
1001819,4467,variant_b,2023-01-08 13:00:00,page_view,UK,mobile,25-34,True
1001819,4467,variant_b,2023-01-08 13:00:26,purchase_completed,UK,mobile,25-34,True
1001819,4467,variant_b,2023-01-08 13:00:49,purchase_started,UK,mobile,25-34,True
1002001,2470,variant_a,2023-01-02 11:00:00,page_view,Iceland,desktop,35-44,True
1002001,2470,variant_a,2023-01-02 11:00:20,purchase_completed,Iceland,desktop,35-44,True
1002001,2470,variant_a,2023-01-02 11:00:49,purchase_started,Iceland,desktop,35-44,True
1002222,994,variant_b,2023-01-29 13:00:00,page_view,Iceland,mobile,35-44,True
1002222,994,variant_b,2023-01-29 13:00:13,purchase_completed,Iceland,mobile,35-44,True
1002222,994,variant_b,2023-01-29 13:00:27,purchase_started,Iceland,mobile,35-44,True
1002398,430,variant_b,2023-01-26 17:00:00,page_view,Iceland,tablet,45-54,True
1002398,430,variant_b,2023-01-26 17:00:21,purchase_completed,Iceland,tablet,45-54,True
1002398,430,variant_b,2023-01-26 17:00:29,purchase_started,Iceland,tablet,45-54,True
