user_id,variant,country,device,age_group
1,variant_b,Germany,desktop,25-34
2,variant_a,Iceland,desktop,45-54
3,variant_a,France,desktop,35-44
4,variant_b,Iceland,tablet,35-44
5,variant_a,Iceland,mobile,45-54
6,variant_a,France,desktop,35-44
7,variant_a,Germany,desktop,25-34
8,variant_a,France,desktop,35-44
9,variant_a,UK,mobile,55+
10,variant_a,Iceland,desktop,25-34
11,variant_b,France,desktop,25-34
12,variant_a,France,desktop,25-34
13,variant_a,Iceland,mobile,35-44
14,variant_b,Iceland,mobile,25-34
15,variant_b,Iceland,mobile,18-24
16,variant_a,France,desktop,45-54
17,variant_a,Iceland,mobile,25-34
18,variant_a,Iceland,desktop,18-24
19,variant_a,Germany,desktop,55+
20,variant_b,Iceland,desktop,55+
21,variant_b,Iceland,desktop,18-24
22,variant_b,UK,desktop,45-54
23,variant_b,UK,mobile,35-44
24,variant_b,UK,desktop,45-54
25,variant_b,UK,desktop,35-44
26,variant_b,UK,mobile,25-34
27,variant_a,Iceland,tablet,45-54
28,variant_a,Iceland,desktop,25-34
29,variant_a,Iceland,desktop,25-34
30,variant_a,France,desktop,25-34
31,variant_b,UK,desktop,35-44
32,variant_b,Germany,desktop,45-54
33,variant_b,Germany,mobile,45-54
34,variant_a,Germany,desktop,55+
35,variant_b,Germany,desktop,18-24
36,variant_a,France,tablet,35-44
37,variant_b,UK,mobile,45-54
38,variant_a,Germany,desktop,18-24
39,variant_a,UK,tablet,25-34
40,variant_b,Iceland,tablet,25-34
41,variant_a,France,desktop,55+
42,variant_a,Germany,desktop,25-34
43,variant_a,France,desktop,18-24
44,variant_b,UK,desktop,25-34
45,variant_b,UK,mobile,45-54
46,variant_b,Iceland,mobile,45-54
47,variant_a,UK,mobile,25-34
48,variant_b,France,mobile,45-54
49,variant_b,Iceland,desktop,45-54
50,variant_b,Iceland,desktop,25-34
51,variant_a,Germany,mobile,35-44
52,variant_b,Iceland,desktop,55+
53,variant_a,Iceland,desktop,25-34
54,variant_a,Germany,desktop,45-54
55,variant_a,Iceland,tablet,35-44
56,variant_a,Iceland,mobile,45-54
57,variant_a,Iceland,tablet,55+
58,variant_a,UK,mobile,55+
59,variant_a,UK,desktop,55+
60,variant_a,Iceland,mobile,18-24
61,variant_b,UK,mobile,25-34
62,variant_a,France,desktop,35-44
63,variant_a,Germany,tablet,45-54
64,variant_a,Iceland,mobile,45-54
65,variant_b,Iceland,desktop,35-44
66,variant_a,France,desktop,35-44
67,variant_b,Germany,desktop,25-34
68,variant_b,UK,desktop,55+
69,variant_a,UK,desktop,35-44
70,variant_b,France,desktop,18-24
71,variant_a,France,desktop,25-34
72,variant_b,UK,mobile,35-44
73,variant_a,UK,mobile,35-44
74,variant_b,Iceland,desktop,35-44
75,variant_a,France,desktop,25-34
76,variant_b,Germany,desktop,25-34
77,variant_b,Iceland,mobile,25-34
78,variant_a,Iceland,mobile,45-54
79,variant_b,UK,desktop,35-44
80,variant_a,Iceland,desktop,55+
81,variant_a,Germany,mobile,18-24
82,variant_a,Iceland,desktop,35-44
83,variant_a,Iceland,desktop,35-44
84,variant_a,Iceland,desktop,18-24
85,variant_a,France,desktop,18-24
86,variant_a,Iceland,desktop,45-54
87,variant_b,Iceland,desktop,25-34
88,variant_b,UK,mobile,55+
89,variant_a,France,mobile,45-54
90,variant_b,Germany,desktop,25-34
91,variant_b,Germany,desktop,25-34
92,variant_a,France,desktop,45-54
93,variant_a,Iceland,desktop,25-34
94,variant_b,UK,desktop,18-24
95,variant_b,Iceland,mobile,55+
96,variant_a,Iceland,desktop,35-44
97,variant_b,Germany,mobile,18-24
98,variant_b,Iceland,desktop,35-44
99,variant_a,Iceland,desktop,25-34
100,variant_b,Germany,desktop,18-24
101,variant_a,France,desktop,25-34
102,variant_a,Iceland,desktop,25-34
103,variant_a,Iceland,mobile,25-34
104,variant_b,Iceland,mobile,18-24
105,variant_b,Germany,desktop,25-34
106,variant_b,France,mobile,25-34
107,variant_a,Iceland,mobile,18-24
108,variant_b,Iceland,mobile,18-24
109,variant_a,Germany,desktop,45-54
110,variant_b,Germany,desktop,35-44
111,variant_b,Iceland,mobile,45-54
112,variant_a,UK,mobile,25-34
113,variant_b,Germany,desktop,25-34
114,variant_b,Germany,desktop,45-54
115,variant_a,UK,desktop,18-24
116,variant_b,Iceland,desktop,25-34
117,variant_b,Germany,mobile,25-34
118,variant_b,UK,desktop,18-24
119,variant_a,Germany,tablet,25-34
120,variant_a,France,mobile,35-44
121,variant_b,Iceland,desktop,35-44
122,variant_a,Iceland,tablet,35-44
123,variant_b,Germany,desktop,25-34
124,variant_a,Germany,mobile,25-34
125,variant_b,Iceland,mobile,18-24
126,variant_a,Iceland,tablet,18-24
127,variant_a,Germany,desktop,35-44
128,variant_a,UK,desktop,35-44
129,variant_a,Iceland,desktop,35-44
130,variant_a,UK,desktop,35-44
131,variant_a,Iceland,mobile,45-54
132,variant_b,Germany,desktop,35-44
133,variant_a,Germany,desktop,55+
134,variant_b,Iceland,desktop,35-44
135,variant_a,France,desktop,35-44
136,variant_b,France,desktop,35-44
137,variant_b,Germany,desktop,45-54
138,variant_b,Iceland,mobile,45-54
139,variant_b,Germany,mobile,18-24
140,variant_a,Germany,desktop,18-24
141,variant_b,Iceland,desktop,35-44
142,variant_a,Iceland,tablet,25-34
143,variant_a,Germany,desktop,35-44
144,variant_a,Iceland,mobile,25-34
145,variant_a,Germany,tablet,18-24
146,variant_a,France,desktop,25-34
147,variant_b,Iceland,desktop,25-34
148,variant_a,UK,desktop,45-54
149,variant_b,UK,desktop,45-54
150,variant_a,Iceland,tablet,35-44
151,variant_b,UK,mobile,25-34
152,variant_b,Germany,mobile,18-24
153,variant_a,Iceland,desktop,25-34
154,variant_b,UK,desktop,18-24
155,variant_a,Germany,desktop,45-54
156,variant_b,Iceland,mobile,35-44
157,variant_b,Germany,desktop,35-44
158,variant_a,UK,desktop,25-34
159,variant_b,Germany,desktop,25-34
160,variant_a,Germany,mobile,25-34
161,variant_b,Iceland,desktop,25-34
162,variant_a,Germany,desktop,45-54
163,variant_b,UK,mobile,25-34
164,variant_b,UK,desktop,18-24
165,variant_b,UK,desktop,35-44
166,variant_a,France,mobile,25-34
167,variant_a,UK,mobile,45-54
168,variant_b,UK,desktop,45-54
169,variant_b,France,desktop,35-44
170,variant_b,France,desktop,35-44
171,variant_a,Germany,desktop,35-44
172,variant_b,Iceland,desktop,18-24
173,variant_a,UK,tablet,35-44
174,variant_b,Iceland,desktop,35-44
175,variant_b,Iceland,mobile,18-24
176,variant_a,France,desktop,35-44
177,variant_b,France,desktop,18-24
178,variant_a,Iceland,tablet,25-34
179,variant_b,Germany,mobile,18-24
180,variant_b,UK,tablet,35-44
181,variant_b,Iceland,desktop,45-54
182,variant_b,Germany,mobile,55+
183,variant_a,Iceland,desktop,35-44
184,variant_a,Iceland,mobile,25-34
185,variant_a,Germany,desktop,18-24
186,variant_b,Germany,desktop,45-54
187,variant_a,Iceland,desktop,45-54
188,variant_b,France,tablet,18-24
189,variant_a,Iceland,desktop,55+
190,variant_a,UK,desktop,35-44
191,variant_b,Iceland,tablet,35-44
192,variant_a,UK,mobile,35-44
193,variant_a,France,mobile,18-24
194,variant_b,UK,desktop,25-34
195,variant_a,UK,mobile,45-54
196,variant_a,Germany,mobile,25-34
197,variant_a,UK,mobile,18-24
198,variant_b,Iceland,mobile,25-34
199,variant_b,UK,desktop,35-44
200,variant_b,UK,tablet,45-54
201,variant_b,Iceland,mobile,18-24
202,variant_b,Iceland,desktop,18-24
203,variant_a,Germany,tablet,25-34
204,variant_a,Iceland,mobile,25-34
205,variant_b,Iceland,desktop,35-44
206,variant_a,Iceland,desktop,18-24
207,variant_b,Germany,desktop,18-24
208,variant_a,Germany,desktop,45-54
209,variant_a,Germany,desktop,45-54
210,variant_a,UK,mobile,35-44
211,variant_a,Iceland,desktop,35-44
212,variant_a,Germany,desktop,25-34
213,variant_b,Iceland,mobile,35-44
214,variant_b,Germany,desktop,25-34
215,variant_a,France,desktop,35-44
216,variant_a,Germany,tablet,25-34
217,variant_b,France,desktop,25-34
218,variant_b,Iceland,mobile,35-44
219,variant_a,Iceland,desktop,25-34
220,variant_b,Iceland,tablet,35-44
221,variant_b,Iceland,desktop,35-44
222,variant_b,Germany,desktop,25-34
223,variant_b,UK,tablet,55+
224,variant_b,France,mobile,55+
225,variant_a,Iceland,desktop,35-44
226,variant_a,Germany,desktop,18-24
227,variant_a,Iceland,mobile,45-54
228,variant_a,Iceland,tablet,25-34
229,variant_b,France,mobile,45-54
230,variant_a,Iceland,desktop,25-34
231,variant_b,France,mobile,25-34
232,variant_a,France,desktop,18-24
233,variant_a,UK,mobile,25-34
234,variant_a,Iceland,mobile,25-34
235,variant_a,Iceland,desktop,55+
236,variant_b,Iceland,mobile,25-34
237,variant_a,UK,mobile,55+
238,variant_b,UK,tablet,35-44
239,variant_a,UK,desktop,18-24
240,variant_a,Iceland,desktop,35-44
241,variant_a,UK,desktop,55+
242,variant_a,UK,desktop,35-44
243,variant_b,Iceland,mobile,25-34
244,variant_b,Germany,desktop,45-54
245,variant_b,UK,desktop,45-54
246,variant_a,Iceland,desktop,18-24
247,variant_b,Germany,desktop,25-34
248,variant_b,UK,desktop,45-54
249,variant_b,France,desktop,35-44
250,variant_a,France,desktop,45-54
251,variant_b,UK,mobile,55+
252,variant_b,France,desktop,55+
253,variant_b,France,tablet,35-44
254,variant_b,Iceland,mobile,25-34
255,variant_b,Iceland,desktop,25-34
256,variant_b,UK,tablet,35-44
257,variant_a,Iceland,mobile,25-34
258,variant_a,UK,desktop,55+
259,variant_b,Iceland,mobile,55+
260,variant_a,Iceland,desktop,35-44
261,variant_b,Iceland,desktop,25-34
262,variant_b,UK,desktop,25-34
263,variant_b,Germany,desktop,18-24
264,variant_a,Iceland,mobile,25-34
265,variant_b,Iceland,tablet,35-44
266,variant_a,France,desktop,45-54
267,variant_a,France,desktop,25-34
268,variant_b,France,desktop,25-34
269,variant_b,Iceland,desktop,18-24
270,variant_a,UK,desktop,25-34
271,variant_b,France,desktop,35-44
272,variant_b,UK,mobile,25-34
273,variant_a,UK,mobile,45-54
274,variant_a,Iceland,desktop,18-24
275,variant_b,Germany,desktop,35-44
276,variant_a,Iceland,desktop,25-34
277,variant_a,Germany,desktop,35-44
278,variant_b,France,tablet,18-24
279,variant_a,Iceland,tablet,35-44
280,variant_b,UK,desktop,35-44
281,variant_b,France,mobile,25-34
282,variant_b,Iceland,tablet,25-34
283,variant_b,Iceland,mobile,18-24
284,variant_a,Iceland,mobile,35-44
285,variant_a,Germany,desktop,45-54
286,variant_a,UK,desktop,18-24
287,variant_b,Iceland,desktop,35-44
288,variant_a,France,desktop,25-34
289,variant_a,Iceland,desktop,35-44
290,variant_b,Iceland,desktop,45-54
291,variant_b,Iceland,desktop,25-34
292,variant_a,UK,mobile,18-24
293,variant_a,Iceland,desktop,25-34
294,variant_b,UK,desktop,35-44
295,variant_a,UK,tablet,35-44
296,variant_b,Germany,mobile,35-44
297,variant_b,Iceland,mobile,18-24
298,variant_a,UK,desktop,25-34
299,variant_b,Germany,desktop,55+
300,variant_a,Iceland,desktop,25-34
301,variant_a,Iceland,desktop,35-44
302,variant_a,Iceland,mobile,18-24
303,variant_b,Iceland,mobile,35-44
304,variant_b,Germany,mobile,55+
305,variant_a,Germany,desktop,25-34
306,variant_b,Iceland,mobile,55+
307,variant_a,UK,desktop,45-54
308,variant_a,Iceland,desktop,18-24
309,variant_a,Iceland,desktop,35-44
310,variant_b,Germany,desktop,25-34
311,variant_b,Germany,desktop,18-24
312,variant_a,Iceland,desktop,25-34
313,variant_a,Iceland,mobile,45-54
314,variant_b,France,tablet,35-44
315,variant_a,Iceland,desktop,25-34
316,variant_b,Iceland,mobile,35-44
317,variant_a,Iceland,tablet,45-54
318,variant_b,Germany,desktop,45-54
319,variant_a,Germany,desktop,18-24
320,variant_a,UK,mobile,45-54
321,variant_a,Iceland,desktop,25-34
322,variant_a,UK,mobile,45-54
323,variant_a,Germany,mobile,35-44
324,variant_a,Germany,tablet,18-24
325,variant_b,UK,tablet,45-54
326,variant_a,UK,desktop,25-34
327,variant_b,Germany,mobile,45-54
328,variant_b,Germany,desktop,35-44
329,variant_a,UK,mobile,18-24
330,variant_a,Iceland,mobile,35-44
331,variant_a,Iceland,tablet,25-34
332,variant_a,Iceland,tablet,35-44
333,variant_a,Germany,desktop,25-34
334,variant_a,Germany,desktop,45-54
